Company Name,Website,Phone,City,State,Full Address
"Design","https://sfwebsitedesign.net/","271-9374","San Francisco","CA","344 Harriet St #205, San Francisco, CA 94103"
"Francisco","https://zelocreatives.com/web-design-san-francisco-ca/","247-5514","N/A","N/A","N/A"
"Inc.","https://meadow.cc/","550-0744","San Francisco","CA","2 Embarcadero Ctr 8th Floor, San Francisco, CA 94111"
"Design","http://hybrid-design.com/","227-4700","San Francisco","CA","777 Florida St Suite 202, San Francisco, CA 94110"
"Creative","http://oystercreativeco.com/","348-7481","Brooklyn","NY","147 Front St #225, Brooklyn, NY 11201"
"Agency","N/A","348-7163","Brooklyn","NY","155 Water St Suite 216, Brooklyn, NY 11201"
"Creative","http://beknown.nyc/","789-2593","Brooklyn","NY","195 Montague St 14th floor, Brooklyn, NY 11201"
"Creative","http://chadwickcreative.com/","455-2773","Brooklyn","NY","240 Kent Ave b12, Brooklyn, NY 11249"
"Future","http://www.dearfuture.co/","224-4150","Brooklyn","NY","20 Jay St, Brooklyn, NY 11201"
"Group","https://www.levelnyc.com/","594-2522","Brooklyn","NY","270 Jay St suite 11-i, Brooklyn, NY 11201"
"Design","http://www.spotlightdesign.com/","493-2866","Brooklyn","NY","627 Eastern Pkwy, Brooklyn, NY 11213"
"design","http://www.mgmtdesign.com/","855-6262","Brooklyn","NY","45 Main St #500, Brooklyn, NY 11201"
"Creative","http://communalcreative.com/","N/A","Brooklyn","NY","231 Front St suite 208, Brooklyn, NY 11201"
"Studio","https://creativa.cc/","7727","Brooklyn","NY","195 Plymouth St, Brooklyn, NY 11201"
"Studios-NYC","https://www.webocreators.com/","290-2445","Brooklyn","NY","155 Water St, Brooklyn, NY 11201"
"USA","https://creatibuzz.com/","513-0355","San Francisco","CA","945 Taraval St #1083, San Francisco, CA 94116"
"Creative","http://www.designsaltcreative.com/","N/A","N/A","N/A","N/A"
"District","N/A","N/A","Brooklyn","NY","142 Plymouth St, Brooklyn, NY 11201"
